Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
SL Malinga,5,20,167,11,8.4,15.2,10.9,0,Mar-34,0.065868263,40.16357529,40.16357529,90.16357529,0.530373972
Imran Tahir,4,13.5,79,11,5.7,7.2,7.5,1,24-May,0.139240506,84.90274776,84.90274776,144.9027478,0.852369104
KMDN Kulasekara,8,29,252,10,8.7,25.2,17.4,0,Apr-31,0.03968254,24.19667054,24.19667054,69.65121599,0.409713035
Shadab Khan,4,15.5,75,10,4.7,7.5,9.5,0,14-Apr,0.133333333,81.30081301,81.30081301,126.7553585,0.745619756
Rashid Khan,3,10,55,9,5.5,6.1,6.7,1,3-May,0.163636364,99.77827051,99.77827051,150.6873614,0.886396244
YS Chahal,3,12,85,8,7.1,10.6,9,1,25-Jun,0.094117647,57.38880918,57.38880918,103.7524455,0.610308503
Rubel Hossain,3,12,111,7,9.2,15.9,10.3,0,31-Mar,0.063063063,38.45308723,38.45308723,70.27126905,0.413360406
L Ngidi,3,8,44,6,5.5,7.3,8,0,19-Apr,0.136363636,83.14855876,83.14855876,110.421286,0.649536977
PADLR Sandakan,3,12,76,6,6.3,12.7,12,0,23-Apr,0.078947368,48.13863928,48.13863928,75.41136655,0.443596274
A Zampa,2,8,51,5,6.4,10.2,9.6,0,25-Mar,0.098039216,59.78000956,59.78000956,82.50728229,0.485336955
Karim Janat,3,11,95,5,8.6,19,13.2,0,25-Mar,0.052631579,32.09242619,32.09242619,54.81969891,0.322468817
S Badree,4,16,98,5,6.1,19.6,19.2,0,14-Feb,0.051020408,31.11000498,31.11000498,53.8372777,0.316689869
CR Brathwaite,4,12,83,5,6.9,16.6,14.4,0,Mar-37,0.060240964,36.73229503,36.73229503,59.45956776,0.349762163
DAS Gunaratne,8,21,161,5,7.7,32.2,25.2,0,11-Jan,0.031055901,18.93652477,18.93652477,41.6637975,0.245081162
JP Faulkner,3,11,79,5,7.2,15.8,13.2,0,20-Mar,0.063291139,38.59215807,38.59215807,61.3194308,0.360702534
IS Sodhi,2,8,58,5,7.2,11.6,9.6,0,Mar-36,0.086206897,52.56518082,52.56518082,75.29245355,0.442896786
TA Boult,3,11,84,5,7.6,16.8,13.2,0,8-Feb,0.05952381,36.29500581,36.29500581,59.02227853,0.347189874
Mustafizur Rahman,4,14,97,5,6.9,19.4,16.8,0,21-Apr,0.051546392,31.43072668,31.43072668,54.15799941,0.318576467
CJ Jordan,3,12,106,5,8.8,21.2,14.4,0,22-Mar,0.047169811,28.76208007,28.76208007,51.4893528,0.302878546
JJ Bumrah,3,9.4,61,5,6.3,12.2,11.6,0,14-Mar,0.081967213,49.980008,49.980008,72.70728072,0.427689887
KJ O'Brien,3,12,132,5,11,26.4,14.4,0,Apr-45,0.037878788,23.09682188,23.09682188,45.8240946,0.269553498
S Prasanna,8,24,169,5,7,33.8,28.8,0,14-Jan,0.029585799,18.04012123,18.04012123,40.76739396,0.2398082
