Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
DJ Bravo,32,110,836,56,7.6,14.9,11.8,1,23-May,0.066985646,97.08064628,97.08064628,157.0806463,0.924003802
AD Russell,27,88.5,685,31,7.7,22.1,17.2,0,13-Mar,0.045255474,65.58764413,65.58764413,93.26621556,0.548624797
SL Malinga,15,60.1,444,24,7.4,18.5,15,0,23-Apr,0.054054054,78.33920877,78.33920877,99.7677802,0.586869295
D Wiese,18,57.2,491,24,8.6,20.5,14.3,1,30-May,0.048879837,70.84034358,70.84034358,102.268915,0.601581853
YS Chahal,14,47,415,24,8.8,17.3,11.8,0,26-Mar,0.057831325,83.81351493,83.81351493,105.2420864,0.619071096
A Nehra,16,62,448,22,7.2,20.4,16.9,0,10-Apr,0.049107143,71.16977226,71.16977226,90.8126294,0.534191938
SP Narine,18,71,427,21,6,20.3,20.3,0,19-Apr,0.049180328,71.27583749,71.27583749,90.02583749,0.52956375
MA Starc,12,43,296,20,6.9,14.8,12.9,0,20-Apr,0.067567568,97.92401097,97.92401097,115.7811538,0.681065611
NM Coulter-Nile,14,53.3,402,19,7.5,21.2,16.9,0,20-Apr,0.047263682,68.49808926,68.49808926,85.46237498,0.502719853
B Kumar,14,51.4,412,18,8,22.9,17.2,0,26-Mar,0.04368932,63.31785564,63.31785564,79.38928421,0.466995789
Harbhajan Singh,15,57,446,18,7.8,24.8,19,0,27-Mar,0.040358744,58.49093391,58.49093391,74.56236248,0.438602132
MJ McClenaghan,12,47,386,18,8.2,21.4,15.7,0,16-Mar,0.046632124,67.58278892,67.58278892,83.65421749,0.492083632
HV Patel,14,43.5,328,17,7.5,19.3,15.5,0,12-Feb,0.051829268,75.11488158,75.11488158,90.29345301,0.531137959
GB Hogg,15,56.5,356,17,6.3,20.9,20.1,0,29-Apr,0.047752809,69.20696955,69.20696955,84.38554098,0.496385535
KA Pollard,20,47.3,350,17,7.4,20.6,16.8,0,30-Apr,0.048571429,70.39337474,70.39337474,85.57194617,0.503364389
K Santokie,10,40,316,16,7.9,19.8,15,0,Apr-37,0.050632911,73.381031,73.381031,87.66674529,0.515686737
JH Kallis,18,51.3,329,16,6.4,20.6,19.3,0,15-Mar,0.048632219,70.48147659,70.48147659,84.76719087,0.498630535
AJ Tye,10,37.3,260,15,6.9,17.3,15,0,18-Apr,0.057692308,83.61204013,83.61204013,97.00489728,0.570617043
Anureet Singh,14,51.4,465,15,9,31,20.7,0,23-Mar,0.032258065,46.75081814,46.75081814,60.14367528,0.353786325
MC Henriques,14,42,279,15,6.6,18.6,16.8,0,16-Mar,0.053763441,77.91803023,77.91803023,91.31088738,0.537122867
Imran Tahir,10,35.3,314,15,8.8,20.9,14.2,0,28-Apr,0.047770701,69.23289947,69.23289947,82.62575662,0.486033862
J Botha,24,66.1,474,14,7.2,33.9,28.4,0,23-Feb,0.029535865,42.80560142,42.80560142,55.30560142,0.325327067
MM Sharma,16,57,481,14,8.4,34.4,24.4,0,25-Mar,0.029106029,42.18265088,42.18265088,54.68265088,0.321662652
AR Patel,14,46.4,392,14,8.4,28,20,0,11-Feb,0.035714286,51.75983437,51.75983437,64.25983437,0.377999026
S Badree,17,55,378,14,6.9,27,23.6,0,Mar-35,0.037037037,53.67686527,53.67686527,66.17686527,0.389275678
RJ Peterson,11,36,229,14,6.4,16.4,15.4,0,13-Mar,0.061135371,88.60198722,88.60198722,101.1019872,0.594717572
NM Lyon,6,23.5,165,14,6.9,11.8,10.2,1,23-May,0.084848485,122.9688186,0,22.5,0.132352941
B Laughlin,9,31.1,263,14,8.4,18.8,13.4,0,20-Feb,0.053231939,77.14773792,77.14773792,89.64773792,0.527339635
JP Faulkner,19,60.4,560,14,9.2,40,26,0,19-Mar,0.025,36.23188406,36.23188406,48.73188406,0.286658142
DS Kulkarni,11,35,277,13,7.9,21.3,16.2,0,9-Feb,0.046931408,68.01653325,68.01653325,79.62367611,0.468374565
Sandeep Sharma,14,50,350,13,7,26.9,23.1,0,25-Apr,0.037142857,53.83022774,53.83022774,65.4373706,0.384925709
CH Morris,11,42,311,13,7.4,23.9,19.4,0,23-Apr,0.041800643,60.58064215,60.58064215,72.18778501,0.424634029
M de Lange,11,40,296,12,7.4,24.7,20,0,23-Apr,0.040540541,58.75440658,58.75440658,69.46869229,0.408639366
JW Hastings,8,29,234,12,8.1,19.5,14.5,0,27-Mar,0.051282051,74.32181345,74.32181345,85.03609917,0.500212348
RR Emrit,11,38.1,242,12,6.3,20.2,19.1,0,20-Mar,0.049586777,71.864894,71.864894,82.57917971,0.485759881
JP Behrendorff,9,36,242,12,6.7,20.2,18,0,14-Feb,0.049586777,71.864894,71.864894,82.57917971,0.485759881
D Bishoo,7,25.5,132,12,5.1,11,12.9,0,24-Apr,0.090909091,131.7523057,0,10.71428571,0.06302521
CJ Boyce,7,26,205,12,7.9,17.1,13,0,Mar-40,0.058536585,84.83563097,84.83563097,95.54991668,0.562058333
DE Bollinger,11,36.4,287,12,7.8,23.9,18.3,0,21-Mar,0.041811847,60.59687926,60.59687926,71.31116498,0.419477441
JE Taylor,10,39,301,11,7.7,27.4,21.3,0,17-Feb,0.03654485,52.96355145,52.96355145,62.78498002,0.369323412
RR Beaton,6,17.5,149,11,8.4,13.5,9.7,0,9-Apr,0.073825503,106.9934831,0,9.821428571,0.057773109
JK Reed,6,20,145,11,7.2,13.2,10.9,0,11-Apr,0.075862069,109.9450275,0,9.821428571,0.057773109
IC Pandey,10,31,223,11,7.2,20.3,16.9,0,27-Feb,0.049327354,71.48891922,71.48891922,81.31034779,0.478296163
SJ Benn,11,35.1,245,11,7,22.3,19.2,0,19-Feb,0.044897959,65.06950606,65.06950606,74.89093463,0.44053491
PP Chawla,13,35,269,11,7.7,24.5,19.1,0,Apr-32,0.040892193,59.26404827,59.26404827,69.08547684,0.406385158
RA Jadeja,15,42.4,330,11,7.7,30,23.3,0,11-Apr,0.033333333,48.30917874,48.30917874,58.13060732,0.341944749
Yasir Arafat,7,27.2,205,11,7.5,18.6,14.9,0,27-Apr,0.053658537,77.76599505,77.76599505,87.58742362,0.515220139
Shakib Al Hasan,8,30,220,11,7.3,20,16.4,0,13-Apr,0.05,72.46376812,72.46376812,82.28519669,0.484030569
T Shamsi,7,21.3,146,11,6.8,13.3,11.7,0,10-Apr,0.075342466,109.1919794,0,9.821428571,0.057773109
R Rampaul,11,39,321,11,8.2,29.2,21.3,0,16-Mar,0.034267913,49.6636417,49.6636417,59.48507027,0.349912178
SR Watson,13,36,324,10,9,32.4,21.6,0,13-Mar,0.030864198,44.73072106,44.73072106,53.65929249,0.315642897
KV Sharma,14,39.5,332,10,8.3,33.2,23.9,0,12-Feb,0.030120482,43.65287236,43.65287236,52.58144379,0.309302611
R Ashwin,13,39,228,10,5.8,22.8,23.4,0,5-Feb,0.043859649,63.56470887,63.56470887,72.4932803,0.426431061
KK Cooper,12,32.4,251,10,7.7,25.1,19.6,0,21-Feb,0.039840637,57.74005428,57.74005428,66.6686257,0.392168386
M Morkel,7,28,206,10,7.4,20.6,16.8,0,18-Feb,0.048543689,70.35317293,70.35317293,79.28174436,0.466363202
J Suchith,12,39,337,10,8.6,33.7,23.4,0,14-Feb,0.029673591,43.00520363,43.00520363,51.93377506,0.305492794
UT Yadav,12,42,383,10,9.1,38.3,25.2,0,Mar-33,0.026109661,37.84008779,37.84008779,46.76865922,0.27510976
A Mishra,12,40.1,310,9,7.7,34.4,26.8,0,Feb-32,0.029032258,42.07573633,42.07573633,50.11145061,0.294773239
J Theron,10,37,299,9,8.1,33.2,24.7,0,19-Mar,0.030100334,43.62367311,43.62367311,51.6593874,0.303878749
Shahid Afridi,10,32.5,274,9,8.3,30.4,21.9,0,Mar-34,0.032846715,47.60393526,47.60393526,55.63964954,0.327292056
SM Boland,9,32,244,9,7.6,27.1,21.3,0,10-Feb,0.036885246,53.45687812,53.45687812,61.4925924,0.361721132
SW Tait,6,24,198,9,8.2,22,16,0,27-Feb,0.045454545,65.87615283,65.87615283,73.91186712,0.434775689
MG Johnson,9,35.5,337,9,9.4,37.4,23.9,0,23-Feb,0.026706231,38.70468327,38.70468327,46.74039755,0.274943515
TA Boult,7,28,236,9,8.4,26.2,18.7,0,19-Mar,0.038135593,55.26897568,55.26897568,63.30468997,0.372380529
FH Edwards,9,34,287,9,8.4,31.9,22.7,0,Feb-29,0.031358885,45.44765945,45.44765945,53.48337373,0.314608081
SA Abbott,13,38.3,376,9,9.8,41.8,25.7,0,14-Feb,0.02393617,34.69010176,34.69010176,42.72581604,0.25132833
NJ Rimmington,8,24.3,207,9,8.4,23,16.3,0,27-Apr,0.043478261,63.01197227,63.01197227,71.04768656,0.417927568
SS Cottrell,7,23,200,9,8.7,22.2,15.3,0,15-Mar,0.045,65.2173913,65.2173913,73.25310559,0.430900621
MA Beer,8,31,176,9,5.7,19.6,20.7,0,14-Feb,0.051136364,74.11067194,74.11067194,82.14638622,0.483214037
DJG Sammy,10,24,228,8,9.5,28.5,18,0,Mar-35,0.035087719,50.8517671,50.8517671,57.99462424,0.341144848
JP Duminy,9,17,126,8,7.4,15.8,12.8,0,17-Apr,0.063492063,92.01748332,92.01748332,99.16034046,0.58329612
A Zampa,8,30,215,8,7.2,26.9,22.5,0,26-Feb,0.037209302,53.92652511,53.92652511,61.06938225,0.35923166
JM Bird,11,38,261,8,6.9,32.6,28.5,0,12-Feb,0.030651341,44.42223333,44.42223333,51.56509047,0.303324062
S Aravind,5,18,132,8,7.3,16.5,13.5,0,27-Apr,0.060606061,87.83487044,87.83487044,94.97772759,0.558692515
V Permaul,10,40,230,8,5.8,28.8,30,0,24-Feb,0.034782609,50.40957782,50.40957782,57.55243496,0.338543735
R Vinay Kumar,13,43.3,368,7,8.5,52.6,37.3,0,26-Feb,0.019021739,27.56773787,27.56773787,33.81773787,0.19892787
B Lee,6,23,177,7,7.7,25.3,19.7,0,26-Mar,0.039548023,57.31597478,57.31597478,63.56597478,0.373917499
CJ McKay,6,19.4,142,7,7.2,20.3,16.9,0,11-Feb,0.049295775,71.44315166,71.44315166,77.69315166,0.457018539
AD Mathews,10,30,246,7,8.2,35.1,25.7,0,15-Feb,0.028455285,41.23954283,41.23954283,47.48954283,0.279350252
DT Christian,8,25,196,7,7.8,28,21.4,0,13-Feb,0.035714286,51.75983437,51.75983437,58.00983437,0.34123432
P Kumar,12,36,329,7,9.1,47,30.9,0,Feb-35,0.021276596,30.83564601,30.83564601,37.08564601,0.218150859
BMAJ Mendis,4,12.1,63,7,5.2,9,10.4,0,Mar-34,0.111111111,161.0305958,0,6.25,0.036764706
DYA Davis,7,19,134,7,7.1,19.1,16.3,0,29-Mar,0.052238806,75.70841445,75.70841445,81.95841445,0.48210832
JK Lalor,9,25.4,205,7,8,29.3,22,0,29-Apr,0.034146341,49.4874514,49.4874514,55.7374514,0.327867361
PV Tambe,10,34,266,7,7.8,38,29.1,0,21-Feb,0.026315789,38.13882532,38.13882532,44.38882532,0.261110737
GJ Maxwell,12,25,210,7,8.4,30,21.4,0,27-Feb,0.033333333,48.30917874,48.30917874,54.55917874,0.320936346
KW Richardson,10,34,307,7,9,43.9,29.1,0,23-Mar,0.022801303,33.04536657,33.04536657,39.29536657,0.231149215
AU Rashid,4,16,121,7,7.6,17.3,13.7,0,Mar-34,0.05785124,83.84237633,83.84237633,90.09237633,0.529955155
BW Hilfenhaus,6,20,158,7,7.9,22.6,17.1,0,Mar-32,0.044303797,64.20840213,64.20840213,70.45840213,0.414461189
Z Khan,7,24.1,156,7,6.5,22.3,20.7,0,9-Feb,0.044871795,65.03158677,65.03158677,71.28158677,0.419303452
Sohail Tanvir,10,35.2,193,7,5.5,27.6,30.3,0,15-Feb,0.03626943,52.56439138,52.56439138,58.81439138,0.345967008
